,DATE,MonthlyMinimumTemperature,MonthlyMeanTemperature,MonthlyMaximumTemperature
0,2015-01-31T23:59:00,10.5,19.7,28.9
1,2015-02-28T23:59:00,2.4,12.7,23.0
2,2015-03-31T23:59:00,20.7,29.8,39.0
3,2015-04-30T23:59:00,36.9,47.8,58.7
4,2015-05-31T23:59:00,52.8,65.6,78.4
5,2015-06-30T23:59:00,57.2,66.8,76.4
6,2015-07-31T23:59:00,62.3,73.0,83.7
7,2015-08-31T23:59:00,62.3,73.1,83.9
8,2015-09-30T23:59:00,57.2,68.6,79.9
9,2015-10-31T23:59:00,39.7,49.8,59.8
10,2015-11-30T23:59:00,35.4,45.5,55.7
11,2015-12-31T23:59:00,34.3,41.8,49.3
12,2016-01-31T23:59:00,19.5,27.7,36.0
13,2016-02-29T23:59:00,20.6,30.6,40.6
14,2016-03-31T23:59:00,32.5,42.7,52.9
15,2016-04-30T23:59:00,34.7,46.0,57.2
16,2016-05-31T23:59:00,48.7,59.5,70.2
17,2016-06-30T23:59:00,56.5,68.2,79.9
18,2016-07-31T23:59:00,63.1,74.0,84.9
19,2016-08-31T23:59:00,63.7,73.9,84.0
20,2016-09-30T23:59:00,54.6,66.1,77.6
21,2016-10-31T23:59:00,43.0,52.4,61.8
22,2016-11-30T23:59:00,32.2,41.4,50.6
23,2016-12-31T23:59:00,23.0,30.3,37.7
24,2017-01-31T23:59:00,24.0,30.6,37.1
25,2017-02-28T23:59:00,23.9,33.3,42.7
26,2017-03-31T23:59:00,22.8,31.7,40.6
27,2017-04-30T23:59:00,42.7,53.0,63.3
28,2017-05-31T23:59:00,48.1,57.4,66.7
29,2017-06-30T23:59:00,57.6,68.0,78.3
30,2017-07-31T23:59:00,62.3,71.7,81.2
31,2017-08-31T23:59:00,59.1,69.2,79.4
32,2017-09-30T23:59:00,54.6,65.6,76.6
33,2017-10-31T23:59:00,46.9,57.8,68.7
34,2017-11-30T23:59:00,30.2,39.2,48.1
35,2017-12-31T23:59:00,17.5,24.9,32.2
36,2018-01-31T23:59:00,14.8,23.3,31.7
37,2018-02-28T23:59:00,23.3,32.5,41.6
38,2018-03-31T23:59:00,27.3,34.1,40.8
39,2018-04-30T23:59:00,31.6,41.1,50.6
40,2018-05-31T23:59:00,53.0,64.3,75.5
41,2018-06-30T23:59:00,56.9,67.9,78.9
42,2018-07-31T23:59:00,65.7,76.5,87.4
43,2018-08-31T23:59:00,66.5,75.1,83.7
44,2018-09-30T23:59:00,58.9,67.2,75.5
45,2018-10-31T23:59:00,42.6,50.7,58.8
46,2018-11-30T23:59:00,30.8,37.0,43.2
47,2018-12-31T23:59:00,24.7,32.4,40.0
48,2019-01-31T23:59:00,14.7,23.3,31.9
49,2019-02-28T23:59:00,19.8,27.6,35.4
50,2019-04-30T23:59:00,39.6,49.8,59.9
51,2019-05-31T23:59:00,49.1,58.5,67.9
52,2019-06-30T23:59:00,57.1,68.0,78.9
53,2019-08-31T23:59:00,61.2,71.7,82.2
54,2019-09-30T23:59:00,52.4,63.8,75.2
55,2019-10-31T23:59:00,44.4,53.6,62.7
56,2019-11-30T23:59:00,28.7,36.7,44.7
57,2019-12-31T23:59:00,22.7,29.8,36.9
58,2020-01-31T23:59:00,23.7,31.8,39.8
59,2020-02-29T23:59:00,23.9,31.5,39.2
60,2020-03-31T23:59:00,32.7,42.3,51.8
61,2020-04-30T23:59:00,37.2,46.6,56.1
62,2020-05-31T23:59:00,48.5,59.8,71.1
63,2020-06-30T23:59:00,58.9,70.8,82.7
64,2020-07-31T23:59:00,65.5,75.9,86.3
65,2020-08-31T23:59:00,58.5,68.8,79.1
66,2020-09-30T23:59:00,49.1,59.7,70.4
67,2020-10-31T23:59:00,39.5,48.9,58.4
68,2020-11-30T23:59:00,30.9,41.0,51.2
69,2020-12-31T23:59:00,22.6,29.9,37.2
70,2021-01-31T23:59:00,17.3,23.3,29.3
71,2021-02-28T23:59:00,16.9,23.7,30.5
72,2021-03-31T23:59:00,25.2,36.4,47.6
73,2021-04-30T23:59:00,35.9,46.7,57.5
74,2021-05-31T23:59:00,44.3,55.6,67.0
75,2021-06-30T23:59:00,57.4,68.2,79.0
76,2021-07-31T23:59:00,59.2,67.8,76.5
77,2021-08-31T23:59:00,61.6,70.9,80.2
78,2021-09-30T23:59:00,52.6,62.2,71.7
79,2021-10-31T23:59:00,48.2,56.8,65.4
80,2021-11-30T23:59:00,29.1,38.8,48.5
81,2021-12-31T23:59:00,29.4,36.1,42.8
82,2022-01-31T23:59:00,10.5,19.7,29.0
83,2022-02-28T23:59:00,17.3,27.5,37.6
84,2022-03-31T23:59:00,27.4,37.3,47.2
85,2022-04-30T23:59:00,37.3,47.8,58.4
86,2022-05-31T23:59:00,51.5,63.3,75.1
